Year,Country,"Government expenditure on education, total (% of GDP)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Life expectancy at birth, total (years)",Prevalence of overweight (% of adults),Prevalence of current tobacco use (% of adults),Current health expenditure per capita (current US$),Individuals using the Internet (% of population),GDP per capita (current US$),Access to electricity (% of population),ICT goods exports (% of total goods exports),Urban population (% of total population),"School enrollment, tertiary (% gross)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, secondary (% net)","Primary completion rate, total (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)","Labor force, female (% of total labor force)",Proportion of seats held by women in national parliaments (%),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Mortality rate, infant (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (% of GDP),Births attended by skilled health staff (% of total),People using safely managed drinking water services (% of population)
2020,Australia,5.37828016281128,,,,9.63794140630465,17.0711261935604,13.5756598529628,,,,83.2,,13.6,5958.765625,94.7,51791.540179984,100.0,1.04,86.241,110.139221191406,,,,,46.9709934784906,30.4635761589404,,,3.2,95.0,10.6837368,96.0,
2019,Australia,5.50858879089355,,,,9.90055970474023,16.9225980147395,13.6275433099882,4.94105432186094,5.94459221316378,89.1143536670652,82.9,,14.0,5545.91064453,93.6,54972.7017885437,100.0,1.1,86.124,109.759559631348,,,,,46.8990769548796,30.4635761589404,,,3.2,95.0,10.21965981,98.8,
2018,Australia,5.40967607498169,,,,9.71112937491486,17.2869000989682,13.7441525938357,,,,82.7487804878049,,14.0,5857.28808594,90.0,57196.4220783778,100.0,1.0,86.012,103.322090148926,,,,,46.7744849814682,28.6666666666667,,,3.2,95.0,10.05971909,98.7,
2017,Australia,5.32125568389893,,,,10.2623937996225,17.4765324029051,14.116746422319,,,,82.5,,,5813.61376953,86.5,53901.7145392154,100.0,1.1,85.904,109.993309020996,,92.28431,,,46.6097831437911,28.6666666666667,,,3.2,95.0,10.12281322,99.4,
2016,Australia,5.43038558959961,19.30184,14.98139,17.82954,10.3366057379963,17.536914658498,14.1969793601081,,,,82.4487804878049,64.5,,5453.92480469,86.5,49888.0410842736,100.0,1.31,85.8,119.682777404785,,92.76952,,,46.4203066906294,28.6666666666667,,,3.2,94.0,10.09288597,98.8,
2015,Australia,5.46285820007324,18.78482,17.13625,21.46599,9.63192976918063,17.4462987952146,13.843511680872,4.56955742794355,5.85702495846548,89.5734193050277,82.4,64.0,15.7,5322.97119141,84.6,56739.0265346593,100.0,1.4,85.701,119.679389953613,,93.23812,,,46.1133826979131,26.6666666666667,,,3.3,93.0,10.18225861,98.8,
2014,Australia,5.4375524520874,18.24146,16.54706,21.85707,9.62992715765032,17.3910131805691,13.8308572070594,,,,82.3,63.6,,6130.99853516,84.0,62544.0873773726,100.0,1.08,85.602,,,,,,45.919060822246,26.0,,,3.4,92.0,9.83354282,99.8,
2013,Australia,5.5196270942688,18.65626,16.77557,22.28509,9.91756622730735,17.5630934946359,14.0646344854396,,,,82.1487804878049,63.1,,5843.17382813,83.5,68190.7010035651,100.0,0.92,85.502,,,,,,45.7333917448342,26.0,,,3.5,91.0,8.75058746,99.0,
2012,Australia,5.55924797058105,18.14095,16.08962,19.06647,10.207021133128,16.9985175674117,13.9032224183997,,,,82.0463414634146,62.7,,6071.65087891,79.0,68072.8732340801,100.0,0.88,85.402,,,,,,45.6261911162689,24.6666666666667,,,3.6,92.0,8.67456913,99.2,
2011,Australia,6.00601577758789,19.96941,,,11.1120274726931,17.8867874126164,14.8114019469103,,,,81.8951219512195,62.2,,5909.14990234,79.5,62605.600458306,100.0,0.85,85.3,,,,,,45.5026695981224,24.6666666666667,,,3.8,92.0,8.53744984,99.1,
2010,Australia,6.15043640136719,22.33566,,,9.67995627546457,18.3095737795145,14.4055456386144,3.95449604319344,5.58861532137959,90.4568900838594,81.6951219512195,61.7,18.2,4975.47070313,76.0,52144.6654705468,100.0,0.96,85.182,,,,,,45.3195651762421,24.6666666666667,,,4.0,92.0,8.42025661,99.1,
2009,Australia,5.39640665054321,19.91991,,,10.3501666883425,18.2353219571768,14.6495969472721,,,,81.5439024390244,61.2,,4011.93261719,74.3,42816.5674002829,100.0,1.07,85.063,,,,,,45.3993241223728,27.3333333333333,,,4.2,92.0,8.54473877,99.1,
2008,Australia,4.9018235206604,17.65014,,,9.50001137124746,17.211927807166,13.7350884880874,,,,81.3951219512195,60.7,,4107.01269531,71.7,49701.2817843335,100.0,1.11,84.943,,,,,,45.2453607748524,26.6666666666667,,,4.4,92.0,8.24855137,99.1,
2007,Australia,4.96966886520386,17.28608,,,9.80856585124345,17.8725439750952,14.2488222739128,,,,81.2926829268293,60.2,,3815.33642578,69.5,41051.6120652288,100.0,1.38,84.822,,,,,,45.1311981251528,26.6666666666667,,,4.5,92.0,8.05496502,99.2,
2006,Australia,5.16309022903442,17.73229,,,11.102448786483,19.9139235133596,15.9516259568552,,,,81.0414634146342,59.7,,3194.03076172,66.0,36595.7071548423,100.0,1.45,84.7,,,,,,45.0346032247332,24.6666666666667,,,4.7,92.0,7.97702456,99.3,
2005,Australia,5.27187633514404,17.92028,,,11.1498816218677,20.0519263480369,16.0647467114279,,,,80.8414634146341,59.2,21.1,3014.10473633,63.0,34479.7679298388,100.0,1.68,84.582,,,,,,44.8785823390265,24.6666666666667,,,4.8,92.0,7.97029352,99.4,
2004,Australia,5.19307231903076,,,,12.897774631484,20.2588131547929,16.98549836214,,,,80.490243902439,58.6,,2760.83081055,,30836.7306824685,100.0,1.98,84.463,,,,,,44.5360637126181,24.6666666666667,,,4.8,92.0,8.08708572,99.3,
2003,Australia,5.24525785446167,,,,12.0662303082781,19.7210073404392,16.3057056879743,,,,80.2390243902439,58.1,,2240.74609375,,23718.1338501868,100.0,2.24,84.343,,,,,,44.641377969827,25.3333333333333,,,4.9,93.0,7.88087225,99.3,
2002,Australia,5.30569648742676,,,,12.0328420181157,19.7131711732167,16.3057072351829,,,,79.9365853658537,57.5,,1763.69567871,,20301.8431713256,100.0,2.24,84.222,,,,,,44.2708013736693,25.3333333333333,,,5.0,92.0,7.87627029,99.3,
2001,Australia,5.22261571884155,,,,12.2582496455899,19.5255615587745,16.3057099192083,,,,79.6341463414634,56.9,,1559.82128906,52.7,19695.7297379144,100.0,2.69,84.1,,,,,,44.1655965484144,,,,5.0,92.0,7.67809916,99.3,
2000,Australia,4.75933980941772,16.74596,,,12.3674991261314,19.3925657783923,16.3057054231493,4.36979318252036,5.86113345690273,89.7690707850361,79.2341463414634,56.3,24.4,1636.52856445,46.8,21870.4159669594,100.0,2.85,84.235,,,,,,43.8381663556757,22.972972972973,,,5.1,90.0,7.59412289,99.3,
1999,Australia,,,,,12.4069450883107,19.3025324500701,16.3057050882016,,,,78.9317073170732,55.7,,,40.8,20712.6697805564,100.0,,84.37,,,,,,43.360272311849,22.4489795918367,,,5.2,88.0,,99.3,
1998,Australia,,,,,12.4487400011319,19.2560597968759,16.305707427719,,,,78.6317073170732,55.1,,,30.8,21479.1142020092,100.0,,84.503,,,,,,43.1775428366252,15.5405405405405,,,5.3,82.0,,99.3,
1997,Australia,,,,,12.7711795809466,18.9884612750163,16.3057009720781,,,,78.4804878048781,54.5,,,16.4,23646.6230457327,100.0,,84.636,79.8077774047852,,,,,43.0142453438488,15.5405405405405,,,5.4,77.0,,99.3,
1996,Australia,,,,,12.4636098223718,19.2048386016048,16.3057064876883,,,,78.0780487804878,53.9,,,3.28,22021.7839065228,100.0,,84.767,75.533317565918,,89.08954,,,42.8802264428631,,,,5.6,86.0,,99.3,
1995,Australia,,15.68629,16.03172,26.57506,12.4430609015747,19.2030377787248,16.3057037589422,,,,77.8292682926829,53.3,,,2.76,20448.1219685874,100.0,,84.898,71.2437973022461,,87.42722,,,42.6910311559523,,,,5.8,86.0,,99.3,
1994,Australia,5.24490976333618,,,,12.4674202631873,19.1360458426786,16.3057075962897,,,,77.8780487804878,52.7,,,2.23,18129.6353064456,100.0,,85.028,66.9492263793945,,87.27602,,,42.2770708961076,,,,6.0,88.0,,99.4,
1993,Australia,5.50569009780884,,,,12.3729116226277,19.1853160036073,16.3057112933477,,,,77.8780487804878,52.1,,,1.97,17699.8764915704,100.0,,85.157,64.7449035644531,,87.30407,,,41.8591798501369,,,,6.3,90.0,,99.3,
1992,Australia,4.68287992477417,,,,12.4301260823034,19.1266367330136,16.3057056508193,,,,77.3780487804878,51.5,,,1.77,18624.1877335866,100.0,,85.285,38.9267807006836,,,,,41.7521317027679,,,,6.7,91.0,,99.3,
1991,Australia,4.78484010696411,,,,12.5314049497444,19.0129037445913,16.3057118119516,,,,77.2756097560976,50.9,,,1.1,18859.9074576986,100.0,,85.403,37.3889007568359,,,,,41.5738804855986,,,,7.1,93.0,,99.6,
1990,Australia,4.66689014434814,,,,,,,,,,76.9946341463415,50.3,,,0.585,18249.3014538169,100.0,,85.433,34.6341590881348,,,,,41.3628541303389,,,,7.6,95.0,,,
1989,Australia,4.73916006088257,,,,,,,,,,76.7136585365854,49.7,,,,17834.4526910252,,,85.463,32.4942817687988,,,,,,,,,8.0,93.0,,,
1988,Australia,4.90722990036011,,,,,,,,,,76.4326829268293,49.1,,,,14284.960791833,,,85.493,31.8232803344727,,,,,,,,,8.4,88.0,,,
1987,Australia,5.05775022506714,,,,,,,,,,76.1517073170732,48.6,,,,11651.3301169821,,,85.522,30.1694793701172,,,,,,,,,8.8,81.0,,,
1986,Australia,5.26889991760254,,,,,,,,,,75.8707317073171,48.0,,,,11392.0043948477,,,85.552,29.9956302642822,,,,,,,,,9.1,75.0,,,
1985,Australia,5.39764022827148,,,,,,,,,,75.6292682926829,47.4,,,,11441.5819707185,,,85.582,28.1948204040527,,,,,,,,,9.3,68.0,,,
1984,Australia,,,,,,,,,,,75.3878048780488,46.9,,,,12421.8807735017,,,85.611,26.9853496551514,,,,,,,,,9.6,62.0,,,
1983,Australia,5.36459016799927,,,,,,,,,,75.1463414634146,46.3,,,,11515.7445121041,,,85.641,26.057149887085,,,,,,,,,9.8,55.0,,,
1982,Australia,5.47198009490967,,,,,,,,,,74.9048780487805,45.7,,,,12779.1459164023,,,85.67,25.3027191162109,,,,,,,,,10.1,48.0,,,
1981,Australia,,,,,,,,,,,74.6634146341463,45.2,,,,11853.6694186454,,,85.7,25.3438606262207,,,,,,,,,10.4,40.0,,,
1980,Australia,5.64626979827881,,,,,,,,,,74.3336585365854,44.6,,,,10208.8036844943,,,85.552,24.9995193481445,,,,,,,,,10.8,33.0,,,
2020,Afghanistan,,,,,92.3950485543351,82.4802271874635,84.3339678710883,,,,62.575,,23.3,80.28805542,17.0,510.787063366811,97.7,,26.026,10.8584403991699,,,,,19.8349761768377,27.0161290322581,,,47.4,61.0,15.53361416,61.8,28.4025051496417
2019,Afghanistan,,,,,92.0936584308172,81.4194994556576,83.5415128821428,32.9304513537869,17.2884637273119,49.7810848710223,63.565,,23.8,74.23410797,17.6,496.6025042585,97.7,0.01,25.754,,,,86.1755218505859,59.7217903137207,20.9067977474871,27.8688524590164,,,48.8,65.0,14.83131981,,27.4917341128464
2018,Afghanistan,,,,,91.985779399213,80.6534420890184,83.018769944043,,,,63.081,,23.8,71.33430481,16.8,491.337221382603,93.4,0.0,25.495,9.96378993988037,,50.1407,88.7355194091797,56.736930847168,21.7516226112499,,,,50.1,67.0,14.20841885,58.8,26.5813145377719
2017,Afghanistan,4.34319019317627,10.25174,11.3072,,92.1563069219953,79.9963249556569,82.6406301916116,,,,63.016,,,66.90921783,13.5,525.469770891619,97.7,,25.25,,,48.44288,87.2533264160156,54.6932792663574,22.4631265094613,27.710843373494,,,51.5,63.0,12.62081718,53.4,25.6714172375918
2016,Afghanistan,4.54397010803223,10.34081,11.98575,,93.3477832798314,81.3379075707463,83.8253751377221,,,,63.136,23.0,,61.48645782,11.0,522.082215583898,97.7,,25.02,,,46.6585,82.9104614257812,52.5213203430176,21.3541814997194,27.710843373494,,,53.0,65.0,11.81859016,,24.7622201760444
2015,Afghanistan,3.2558000087738,10.24688,10.29234,,94.5832561314545,82.9999044866669,85.2844328710011,39.3909806318543,16.3899646832828,44.2190527205372,62.659,22.3,26.0,60.05854034,8.26,565.569730408751,71.5,,24.803,,33.7538414001465,45.43273,,,20.2941507106953,27.710843373494,17.0862407684326,0.441399991512299,54.6,64.0,10.10534763,50.5,23.8535895499243
2014,Afghanistan,3.69521999359131,11.72219,12.03027,58.22054,95.5926711863549,84.3684240450296,86.4749045020356,,,,62.545,21.7,,60.18957901,7.0,625.054941813938,89.5,,24.587,8.31087017059326,,46.0584,,,19.2702186833505,27.710843373494,,,56.2,63.0,9.52887821,45.2,22.9443007139289
2013,Afghanistan,3.45445990562439,11.17447,11.32094,,96.3394669686111,85.4764188509285,87.409925609968,,,,62.417,21.1,,56.30554199,5.9,637.087099117099,68.0,,24.373,,,46.1909,,,18.2833912859109,27.710843373494,,,58.1,64.0,8.80596447,,22.0344697184414
2012,Afghanistan,2.60419988632202,8.31733,8.53024,,96.9192909680224,86.4860951028911,88.246098702245,,,,61.923,20.5,,52.61354065,5.45,651.417134470046,69.1,,24.16,,,,,,17.3341342003836,27.710843373494,,,60.1,66.0,7.89716864,39.9,21.1239963442836
2011,Afghanistan,3.4620099067688,12.21159,12.56712,96.09478,97.3307057091385,87.4221566833551,89.0656965596097,,,,61.419,19.9,,52.36304855,5.0,606.694676337726,43.2,,23.948,3.75560998916626,31.0,,,,17.0434262738665,27.710843373494,17.0,1.0,62.3,68.0,8.56190777,38.6,20.2128842346224
2010,Afghanistan,3.4794499874115,11.95215,13.2609,,97.7648826617028,88.4082085097377,89.9327976144798,48.1499135188659,11.0309239785858,40.8191640676136,60.851,19.3,29.1,46.57987976,4.0,560.621505463146,42.7,,23.737,,,,,,16.7430582537576,27.710843373494,,,64.6,66.0,8.56967163,34.3,19.301139222627
2009,Afghanistan,4.81063985824585,,,,97.9871675997381,89.0041363645569,90.4411090664849,,,,60.364,18.8,,43.26076889,3.55,452.053705477043,48.3,,23.528,4.02480983734131,,,,,16.4397545671275,27.3092369477912,,,67.0,63.0,9.81848717,,18.3888843398134
2008,Afghanistan,4.38367223739624,,,,98.2527408634215,89.7620271520857,91.0961916732303,,,,59.852,18.2,,39.96989822,1.84,381.73323802844,42.4,,23.32,,,,,,16.1551622947386,27.6859504132231,,,69.6,64.0,10.25649548,24.0,17.4760103900168
2007,Afghanistan,4.17489528656006,,,,98.4195725080732,90.1925536644829,91.4646231360054,,,,59.111,17.7,,32.71720505,1.9,376.223152003876,38.4,,23.113,,,26.55995,,,15.896548904235,27.6859504132231,,,72.3,63.0,9.90467453,,16.5625231156134
2006,Afghanistan,4.68476057052612,,,,98.5274819305842,90.521961269768,91.7437455153307,,,,58.684,17.1,,28.91982269,2.11,274.218553561575,33.5,,22.907,,,,,,15.6961942592096,27.3092369477912,,,75.1,58.0,10.62276554,18.9,15.6484265825764
2005,Afghanistan,,,,,98.6883819625964,90.9533453007027,92.1239932410333,,,,58.361,16.6,32.7,25.10707283,1.22,254.184249149336,28.7,,22.703,,,,,17.385929107666,15.5637763476013,27.3092369477912,,,78.0,58.0,9.94828892,,14.733852939883
2004,Afghanistan,,,,,98.7795181995879,91.2036672810646,92.344503031817,,,,57.944,16.1,,21.42946434,0.106,221.763653873013,23.8,,22.5,1.38966000080109,,,,,15.4872829663627,,,,80.9,50.0,9.80847359,,13.8186837545214
2003,Afghanistan,,,,,98.8856278403511,91.4528725046013,92.5697996925332,,,,57.344,15.6,,17.81492424,0.0879,198.871115728727,19.0,,22.353,1.38107001781464,,,,,15.4540373237616,,,,83.7,41.0,8.94125843,14.3,12.9099215252666
2002,Afghanistan,,,,,98.9266946925906,91.5644526460837,92.6716716692545,,,,56.454,15.2,,17.00758553,0.00456,178.954088379235,14.1,,22.261,,,,,,15.4681024024914,,,,86.6,36.0,9.44339085,,12.0077331734354
2001,Afghanistan,,,,,98.9418102755792,91.5412508545668,92.6584419856017,,,,55.798,14.7,,,0.00472,138.706821676113,9.3,,22.169,,,,,,15.5268867498312,,,,89.3,33.0,,,11.1052211474061
2000,Afghanistan,,,,,98.9536523814244,91.5845361836646,92.7049556974733,59.8146503168484,8.17558808319085,32.0097632220991,55.298,14.2,36.9,,,174.930991430166,4.4,,22.078,,,,,,15.6363457848375,,,,92.0,24.0,,12.4,11.0933263091436
1999,Afghanistan,,,,,98.9660122280029,91.6237544047337,92.7517528742003,,,,54.846,13.8,,,,,,,21.986,,,,,,15.7983806264933,,,,94.6,27.0,,,
1998,Afghanistan,,,,,98.9684195537505,91.6339347009752,92.77439362642,,,,52.943,13.4,,,,,,,21.895,,,,,,15.9880888094396,,,,97.2,27.0,,,
1997,Afghanistan,,,,,98.9713136902408,91.645835682923,92.7993237860538,,,,53.634,12.9,,,,,,,21.805,,,,,,16.1885068369994,,,,99.9,28.0,,,
1996,Afghanistan,,,,,98.9746248128277,91.6603645370949,92.826637097643,,,,53.243,12.5,,,,,,,21.714,,,,,,16.3906284297497,,,,102.7,31.0,,,
1995,Afghanistan,,,,,98.9834126252906,91.6957731134609,92.871087708203,,,,52.544,12.1,,,,,,,21.624,,,,,,16.5763093563931,,,,105.5,20.0,,,
1994,Afghanistan,,,,,99.0033256344782,91.7597889137552,92.9395674631837,,,,51.495,11.7,,,,,,,21.534,,,,,,16.7396750784594,,,,108.6,12.0,,,
1993,Afghanistan,,,,,99.0316537045509,91.8652425166455,93.0426260175114,,,,51.466,11.4,,,,,,,21.444,,,14.51242,34.1708297729492,21.6861095428467,16.8860754068618,,,,111.8,18.0,,,
1992,Afghanistan,,,,,99.046062809797,91.9214569182676,93.0989706062253,,,,47.596,11.0,,,,,,,21.355,,,,,,16.9901454401561,,,,115.1,21.0,,,
1991,Afghanistan,,,,,99.0580235701016,91.9593172865612,93.1360125120767,,,,46.663,10.7,,,,,,,21.266,,,,,,17.0417195356184,,,,118.7,23.0,,,
1990,Afghanistan,,,,,,,,,,,45.967,10.4,,,0.0,,,,21.177,2.46528005599976,,,,,17.0630478417394,,,,122.5,25.0,,,
1989,Afghanistan,,,,,,,,,,,45.158,10.0,,,,,,,21.088,,,,,,,,,,126.5,33.0,,,
1988,Afghanistan,,,,,,,,,,,43.958,9.7,,,,,,,20.998,,,,,,,,,,130.6,35.0,,,
1987,Afghanistan,,,,,,,,,,,39.844,9.4,,,,,,,20.314,1.88179004192352,,,,,,,,,134.7,25.0,,,
1986,Afghanistan,,,,,,,,,,,39.396,9.1,,,,,,,19.647,2.37948989868164,,,,,,,,,138.9,11.0,,,
1985,Afghanistan,,,,,,,,,,,33.55,8.7,,,,,,,18.997,,,,20.9974803924561,14.750659942627,,,,,143.0,15.0,,,
1984,Afghanistan,,,,,,,,,,,33.329,8.4,,,,,,,18.365,,,,21.7596206665039,15.4939203262329,,,,,147.1,16.0,,,
1983,Afghanistan,,,,,,,,,,,38.187,8.2,,,,,,,17.747,,,,,,,,,,151.2,5.0,,,
1982,Afghanistan,,,,,,,,,,,37.766,7.9,,,,,,,17.147,2.19055008888245,,,,13.5106897354126,,,,,155.6,5.0,,,
1981,Afghanistan,,,,,,,,,,,40.164,7.6,,,,,,,16.562,,,,35.8829002380371,17.7764301300049,,,,,159.8,3.0,,,
1980,Afghanistan,,,,,,,,,,,39.618,7.3,,,,,,,15.995,,,,27.6641998291016,14.1513795852661,,,,,164.0,4.0,,,
2020,Bangladesh,1.76528060436249,,,,65.5261004712105,52.9174776335595,57.2733994034906,,,,71.968,,34.7,50.66413116,36.1,2248.85078828233,96.2,,38.177,22.538854598999,75.0,,,,34.8762833334796,20.9169054441261,72.0,1.0,25.7,98.0,2.27063942,,58.6559977739333
2019,Bangladesh,1.68138802051544,,,,66.2468754595904,53.9353274585081,58.0780054444555,22.6128372233556,7.13149266345035,70.2556717831391,72.806,,35.2,47.66782379,30.4,2129.79896954606,92.2,,37.405,22.8052139282227,75.0,,,,34.1487248770059,20.6303724928367,72.0,1.0,26.7,98.0,2.25762248,59.0,58.180213270118
2018,Bangladesh,1.65589129924774,,,,67.3207672346763,55.515291604809,59.3752572453262,,,,72.567,,35.2,44.74491119,25.6,1965.24372731467,86.9,,36.632,19.70263671875,74.0,66.54968,,80.7084197998047,33.3303981796415,20.2857142857143,71.0,1.0,27.8,98.0,2.31622243,52.7,57.7207449544889
2017,Bangladesh,1.85040032863617,,,,68.4021271162406,57.0658554111958,60.656899602147,,,,71.788,,,42.27734375,21.5,1811.08221668646,88.0,,35.858,18.5305080413818,73.0,63.74088,,74.260986328125,32.4425972668918,20.2857142857143,70.0,1.0,28.9,98.0,2.36720181,67.8,57.277601417181
2016,Bangladesh,2.22119998931885,,9.88363,29.90388,70.6165815732394,56.175986361413,60.4879190269243,,,,71.09,20.0,,39.55920792,18.1,1649.28380858601,75.9,,35.083,17.4021797180176,73.0,65.21977,,73.9000091552734,30.7886799752479,20.0,70.0,1.0,30.1,98.0,2.38938212,49.8,56.850799030472
2015,Bangladesh,1.87225413322449,,,,72.4687203072476,55.4910846718566,60.5195673715089,28.8076630750759,7.48848529773928,63.7038514843619,70.491,19.4,38.9,33.53680038,12.9,1224.38647668165,74.0,0.05,34.308,15.5907163619995,65.0,59.13634,,,30.5528198510496,20.0,62.0,1.0,31.4,98.0,2.27217698,,56.4401978281453
2014,Bangladesh,2.09871673583984,,,,74.4172176234905,55.0474355668618,60.7392541324238,,,,69.986,18.8,,30.29579544,11.9,1094.46199702838,62.4,,33.535,13.6534414291382,61.0,,,,30.3222496341607,19.8275862068966,58.0,1.0,32.7,97.0,2.27915168,42.1,56.0454778209341
2013,Bangladesh,1.96616005897522,,,,76.3735390157991,54.7067800560744,61.0246947144359,,,,69.565,18.2,,27.40725899,6.63,958.262989798283,61.5,0.06,32.762,13.6510944366455,61.0,54.27441,,66.5985641479492,30.0967735039524,19.7142857142857,58.0,1.0,34.1,96.0,2.29574466,36.5,55.6668781318431
2012,Bangladesh,2.04667067527771,,10.41856,23.48732,78.0392258348918,54.3943382000052,61.4100689340847,,,,69.554,17.6,,23.89686203,5.0,859.680536375497,65.5,0.05,31.993,13.667537689209,58.0,49.66535,,,30.3991525342479,19.7142857142857,54.0,1.0,35.6,94.0,2.3537879,,55.3036924501787
2011,Bangladesh,2.13269996643066,,11.21871,16.13114,79.6540347800333,54.1557195708087,61.8498031076672,,,,68.809,17.0,,23.28593445,4.5,837.336944695647,59.6,0.04,31.225,13.5724172592163,59.0,47.29212,,58.3468627929688,30.695132191597,19.7142857142857,55.0,1.0,37.2,96.0,2.36418128,31.7,54.956322767706
2010,Bangladesh,,,12.56133,,81.2332497711898,53.9874760576992,62.340205956552,32.9783972251383,7.59040285131126,59.4311989454775,68.638,16.4,44.0,21.15062714,3.7,757.385280361508,55.3,0.05,30.462,,,47.65124,65.0808486938477,55.4568061828613,30.9669645258127,18.5507246376812,,,38.9,94.0,2.28807664,26.5,55.0085863901501
2009,Bangladesh,1.9394199848175,7.56853,10.31646,23.88228,80.4229561268245,55.8125635754774,62.8967033185545,,,,67.403,15.8,,18.20583725,3.1,679.211477428056,57.1,0.06,29.709,10.8163499832153,,46.3405,63.279411315918,57.0029296875,29.4660663191172,18.5507246376812,,,40.7,97.0,2.18321705,24.4,55.0575457562667
2008,Bangladesh,2.0545699596405,8.29676,11.56194,30.03398,79.3670701978603,57.4334679924908,63.4222620324902,,,,67.051,15.3,,15.99568462,2.5,613.06204104124,54.3,0.1,28.968,8.84245014190674,,,57.3523216247559,,28.0008077849927,6.33333333333333,,,42.7,96.0,2.11878848,,55.1028751333941
2007,Bangladesh,2.20221996307373,8.79898,12.11735,31.0707,78.2053937587449,58.9636931540673,63.9403875511549,,,,66.714,14.8,,14.41430759,1.8,537.955492792911,46.5,0.56,28.237,7.86712980270386,46.6636009216309,45.41006,,55.0962905883789,26.5765567102458,,43.7408485412598,1.19579994678497,44.8,94.0,2.17268491,18.0,55.1449682258641
2006,Bangladesh,2.13128995895386,7.58248,12.55229,36.36022,76.9421820601717,60.3753323234367,64.4281911263714,,,,67.241,14.3,,12.37925339,1.0,490.388026533289,50.5,0.09,27.517,7.24171018600464,,44.60284,,54.0382690429688,25.1972477639826,15.0724637681159,,,47.0,94.0,2.10646582,20.1,55.1836736404241
2005,Bangladesh,,,,,77.1995794600295,60.7365221810639,64.7407131241814,,,,67.299,13.8,50.3,11.61940002,0.242,480.08585075452,44.2,0.06,26.809,6.29582977294922,,43.94428,65.8595428466797,53.8870582580566,25.0396456067087,14.7826086956522,,,49.3,93.0,2.05873919,,55.2188500690923
2004,Bangladesh,1.94014000892639,,12.24151,36.7488,77.1009696653078,61.3398861602019,65.19257262247,,,,67.187,13.3,,11.10974789,0.199,455.614016909798,40.6,0.09,26.114,5.72883987426758,,45.27481,,55.1960906982422,24.8713114558934,2.0,,,51.7,99.0,1.99854314,13.2,55.250352936216
2003,Bangladesh,2.06939005851746,,11.27777,28.46752,77.0028386860036,61.8691005901119,65.5888808771022,,,,66.824,12.9,,10.3110857,0.164,426.74880754362,40.5,0.07,25.429,6.19688987731934,,48.62257,,59.5551910400391,24.7116215553744,2.0,,,54.3,87.0,1.96152198,13.9,55.2787471471295
2002,Bangladesh,2.01714992523193,,10.41505,34.17289,77.0847415199015,62.3406722768544,65.9471309676051,,,,66.612,12.4,,9.37759209,0.14,393.886422327628,37.8,0.03,24.756,6.13536977767944,,48.85865,,60.0205383300781,24.5527245932359,2.0,,,57.0,83.0,1.93417108,,55.3037151491832
2001,Bangladesh,2.17193007469177,,,31.89144,77.2351580608534,62.7421269203937,66.2679800038086,,,,66.135,12.0,,8.41617775,0.13,394.65641001891,35.0,0.02,24.096,6.42439985275269,47.0,47.72372,,58.7023811340332,24.3815179396559,,41.0,1.0,59.9,85.0,1.77201855,12.0,55.3251160869331
2000,Bangladesh,2.12508010864258,,9.29947,37.03173,77.2912306751681,63.1380872968134,66.5559199163366,50.2466530618096,6.64088937832296,43.1124581022785,65.779,11.6,57.6,8.6186285,0.071,396.670730249751,32.0,0.07,23.59,5.46036005020142,,46.4506,,53.9975090026855,24.1640675285096,9.09090909090909,,1.0,63.0,82.0,1.80504513,12.1,55.3187008304757
1999,Bangladesh,2.13281989097595,,9.99201,40.4384,77.3138989930073,63.4168654589319,66.7387252450074,,,,66.228,11.2,,,0.0362,388.095684268235,29.5402145385742,,23.202,5.47931003570557,,45.10087,,51.3809204101562,23.8899916127403,9.09090909090909,,,66.4,80.0,,,
1998,Bangladesh,,,,,77.327751441786,63.6445291188882,66.8770427306684,,,,63.917,10.9,,,0.00368,385.616881752796,26.7461929321289,,22.818,,,41.96004,,48.6585502624512,23.5835109503739,9.09090909090909,,,69.9,77.0,,,
1997,Bangladesh,1.95246994495392,,,,77.3344456930025,63.8679415840185,67.006207144138,,,,61.427,10.5,,,0.000751,379.284917709635,22.4,,22.438,,,,,,23.2382612560044,9.09090909090909,,,73.6,78.0,,7.7,
1996,Bangladesh,,,,,77.349859628601,64.0389215440603,67.0909242901697,,,,59.492,10.2,,,,371.917937677345,21.1443862915039,,22.064,,,,,,22.8371103212411,,,,77.4,77.0,,,
1995,Bangladesh,,,,,77.3755502816119,64.1622251173304,67.1329935710478,,,,59.467,9.8,,,,309.458680823367,18.3380451202393,,21.693,,,,,,22.4067479651539,,,,81.3,69.0,,,
